"species","ring_nuber"
"Blackbird","LK14560"
"Blackbird","LK14629"
"Blackbird","LK14643"
"Blackbird","LK14650"
"Blackbird","LK14660"
"Blackbird","LK14661"
"Blackbird","LK14662"
"Blackbird","LK14664"
"Blackbird","LK14669"
"Blackbird","LK67701"
"Blackbird","LK67703"
"Blackbird","LK67704"
"Blackbird","LK67705"
"Blackbird","LK67706"
"Blackbird","LK67707"
"Blackbird","LK67726"
"Blackbird","LK67727"
"Blackbird","LK67728"
"Blackbird","LK67729"
"Blackbird","LK67730"
"Blackbird","LK67731"
"Blackbird","LK67735"
"Blackbird","LK67736"
"Blackbird","LK67737"
"Blackbird","LK67738"
"Blackbird","LK67739"
"Blackbird","LK67740"
"Blackbird","LK67741"
"Blackbird","LK67742"
"Blackbird","LK67743"
"Blackbird","LK67744"
"Blackbird","LK67745"
"Blackbird","LK67746"
"Blackbird","LK67747"
"Blackbird","LK67748"
"Blackbird","LK67749"
"Blackbird","LK67750"
"Blackbird","LK67761"
"Blackbird","LK67762"
"Blackbird","LK67763"
"Blackbird","LK87732"
"Blackbird","LK87733"
"Blackbird","LK87734"
"Blue tit","ACJ2003"
"Blue tit","ACJ2049"
"Blue tit","ACJ2052"
"Blue tit","ACJ2108"
"Blue tit","ACJ2303"
"Blue tit","ACJ2320"
"Blue tit","ACJ2559"
"Blue tit","ACJ2562"
"Blue tit","ACJ2584"
"Blue tit","ACJ2585"
"Blue tit","ACJ2586"
"Blue tit","ACJ2598"
"Blue tit","ACJ2599"
"Blue tit","ACJ2627"
"Blue tit","ACJ2629"
"Blue tit","ACJ2791"
"Blue tit","ACJ2792"
"Blue tit","ACJ3050"
"Blue tit","ACJ3211"
"Blue tit","ACJ3220"
"Blue tit","ACJ3233"
"Blue tit","ACJ3399"
"Blue tit","AFE1854"
"Blue tit","AFE1855"
"Blue tit","AFE1857"
"Blue tit","AFE1863"
"Blue tit","AFE1867"
"Blue tit","AFE1895"
"Blue tit","AFE1899"
"Blue tit","AFE1925"
"Blue tit","AFE1950"
"Blue tit","AFE3021"
"Blue tit","AFE3404"
"Blue tit","AFE3406"
"Blue tit","AFE3416"
"Blue tit","AFE3417"
"Blue tit","AFE3422"
"Blue tit","AFE3550"
"Blue tit","AFE3605"
"Blue tit","AFE3817"
"Blue tit","AKP8701"
"Blue tit","AKP8702"
"Blue tit","APL4284"
"Blue tit","APL4327"
"Blue tit","APL4482"
"Blue tit","APL4657"
"Blue tit","APL4866"
"Blue tit","APL4868"
"Blue tit","APP0376"
"Blue tit","APP0377"
"Blue tit","APP0386"
"Blue tit","APP0387"
"Blue tit","AXB1129"
"Blue tit","AXB1207"
"Blue tit","AXB1249"
"Blue tit","AXB1564"
"Blue tit","AXB1597"
"Blue tit","AYB0075"
"Blue tit","AYB0076"
"Blue tit","AYB0086"
"Blue tit","S935258"
"Blue tit","S935265"
"Blue tit","S935266"
"Blue tit","Z445387"
"Chaffinch","ACJ2006"
"Chaffinch","ACJ2010"
"Chaffinch","ACJ2014"
